content,score
"update an terbaru youtube ini agak mengganggu, ad banyak bug seperti saat menonton short, terkadang channel yang disubscribe muncul di atas. Terus ada juga saat mengecilkan video yang ditonton untuk scroll melihat video youtube lainnya, saat video yang ditonton dibesarkan kembali navigasi gestur HP gesek tepi kiri atau kanan untuk kembali itu tidak berfungsi. Jadi mohon untuk segera diperbaiki bugnya, saran saya buat fitur youtube jadi simpel saja",2
"kok makin aneh ya? saat layar videonya di kecilkan, malah tidak bisa di pembesar lagi. udah coba usap, sentuh dll tapi layarnya tetap kecil, tapi skip dan jeda video masih bisa. YouTube tolong perbaiki dong kesalahan ini, agar lebih nyaman 🙏",2
"Padahal saya sudah setting resolusi yg tinggi di pengaturannya, tp pas mulai tetap aja yg paling rendah resolusi nya. Plis tambahin setting kita bisa milih resolusi di settingnya dan otomatis terpasang di video nya",1
"Setelah update, sekarang aplikasinya saat mode landscape (layar penuh) kemudian kita putar hp nya maka akan kembali ke mode potret, tidak bertahan di mode layar penuh. Ini membuat susah dipakai dalam kondisi posisi tidur. Apakah ini bug, sungguh ini sangat mengganggu. mohon segera di perbaiki.",1
"tolong ya YouTube mendingan kalian perbaiki fitur subtitle otomatis biar lebih akurat daripada nambah fitur trek audio translation.Itu fitur trek audio kalo bisa jangan dijadikan otomatis,aneh anjir masa tiba-tiba jadi bahasa Indonesia tapi dengan kualitas audio yang busuk mana sering muncul bug jadi gak bisa ubah ke audio aslinya.saran saya mah mendingan itu trek audio nya jangan dibuat jadi otomatis nyala kecuali emang dari pihak pemilik channel sudah menyediakan trek audio mereka sendiri.",2
"thanks, buat developernya fiturnya kembali seperti semula, yang di mana kemarin fitur landscape ketika posisi handphone berubah akan otomatis beralih ke mode potrait secara otomatis. dan itu sangat tidak nyaman, ketika dalam posisi rebahan dan mengubah posisi menonton jadi tidak nyaman karena harus berulang menekan tombol mode landscape ketika handphone bergerak",5
"Youtube makin lama makin tamak, iklan ga bisa di skip oke lah,ini tambah iklan tiba² muncul dari samping ganggu banget mana kalo lagi skip video tiba² muncul di samping bikin pengguna ga nyaman, maksa banget apa suruh pake youtube premium biar ga digangguin?!",1
Tolong di perbaiki lagi untuk aplikasi nya. karena kenapa. pas saya mau menggunakan subtitle ke videonya. selalu tidak muncul. dan tiba-tiba saja aplikasi nya mengalami sebuah error. atau kata lebih singkat nya ngelag. tolong cepat di perbaiki. mungkin itu saja ulasan yang bisa saya sampaikan terimakasih. 😭😭😭,1
"setelah update paling baru malah tidak bisa menambahkan komentar di youtube short karena tertutup tombol navigasi, aku tidak mau mengganti tombol navigasi dengan navigasi gestur karena sudah terlanjur nyaman menggunakan tombol navigasi, tolong perbaiki supaya bagian menambahkan komentar di youtube short ada di atas tombol navigasi sama seperti sebelumnya.",1
"saat menonton live stelan kualitas video nya tidak sepeti konten. kalo kita atur penghemat data pasti video konten maksimal kualitas video nya 360, kalo live walaupun udah pake setingan penghemat data kualitas videonya naik seperti setingan otomatis bukan penghemat data",4
"makin lama makin ampas, fitur banyak tapi bug juga banyak, di-update bukan makin bagus, malah perbanyak iklan, baru 1 menit dah iklan, menit ke 3, ke 5 iklan lagi, gabisa di skip, giliran percepat 10-20 detik, langsung iklan lagi, padahal baru aja kelar nonton iklan, brengsek nih aplikasi!",1
"untuk YouTube tolong di buatkan fitur untuk pilih resolusi secara langsung,, 144p 240p 360p 480p 720p dst, klo setiap klik harus seting resolusi yg sesui dg kita rasanya kurang nyaman,,bisa pilih secara default yg mna mau hemat atau boros kuota, baru mantap.. semoga kedepannya bisa lebih baik lagi.",1
"eh ini kenapa ya, setiap selesai iklan gak bisa lanjut buat nonton lagi kadang juga selesai iklan layarnya item doang gak bisa diapa""in, jadi kalo mau nonton harus keluar apk nya dulu! untuk internetnya lancar, dan kalo untuk paket masih full 20gb.. tolong diperbaiki biar nontonnya nyaman seperti sebelumnya...",1
